TRI_FACILITY_ID,count,FACILITY_NAME,COUNTY,air_releases,fugitive_air,stack_air,LATITUDE,LONGITUDE
95066WTKNS440KI,2,WATKINS-JOHNSON CO SCOTTS VALLEY PLANT,SANTA CRUZ,22873,15331,7542,37.051111,-122.029028
95076HDCCR78HAN,2,HADCO TECH CENTER W,SANTA CRUZ,500,500,0,36.92694,-121.79086
95076MTKPC1715W,4,INDALEX INC -WATSONVILLE,SANTA CRUZ,25695,21995,3700,36.89651,-121.77935
95076PLLSB735WE,1,PILLSBURY CO GREEN GIANT,SANTA CRUZ,15000,15000,0,36.90456,-121.76846
95076SPCTR100WE,1,SPECTRA-MAT INC,SANTA CRUZ,63063,63063,0,36.921778,-121.791528
95103FMCCR1125C,10,UNITED DEFENSE LP GROUND SYSTEMS DIV,SANTA CLARA,215473,87961,127512,37.35225,-121.92364
95112BRKND2250S,3,BURKE INDUSTRIES INC,SANTA CLARA,78031,78031,0,37.30804,-121.85421
95112CRDNL890CO,1,CARDINAL INDUSTRIAL FINISHES INC,SANTA CLARA,250,0,250,37.365868,-121.888574
95112HRSMT439RE,1,HARO'S METAL FINISHING INC,SANTA CLARA,96,96,0,37.371053,-121.90776
95112MCRMT1695M,5,MICRO METALLICS CORP,SANTA CLARA,5631,3881,1750,37.31105,-121.86876
95112SCLLL520PA,4,US CELLULOSE ALTERNATIVE MATERIALS TECHNOLOGY INC,SANTA CLARA,2500,1000,1500,37.3079,-121.85117
95116MRSSM475EG,1,EGGO CO,SANTA CLARA,250,250,0,37.356611,-121.872222
95120BMRSR650HA,2,IBM RESEARCH DIV ALMADEN RESEARCH,SANTA CLARA,500,500,0,37.20153,-121.82859
95125GLSFR271BA,2,GLASFORMS INC,SANTA CLARA,102000,0,102000,37.30668,-121.87541
95125LLYHR441PE,1,NITREX INC,SANTA CLARA,6700,0,6700,37.29885,-121.87186
95126CRNNC490RA,3,ACRIAN INC,SANTA CLARA,1001,750,251,37.31903,-121.9111
95126CRRYT1297P,1,GSS ARRAY TECH INC,SANTA CLARA,43000,43000,0,37.31673,-121.90944
95131CNNRP2221O,1,OSE USA INC,SANTA CLARA,45755,45755,0,37.21517,-121.86405
95131CNNRP2720O,1,CONNER PERIPHERALS INC,SANTA CLARA,4335,4335,0,37.38854,-121.93416
95131HLLBR410CH,1,HILL BROTHERS CHEMICAL CO,SANTA CLARA,500,250,250,37.382,-121.913889
95131HWLTT350WT,10,AGILENT TECHS,SANTA CLARA,20500,9150,11350,37.38238,-121.93517
95131HYLCT960RI,1,HOYA CORP USA,SANTA CLARA,5105,720,4385,37.39726,-121.90949
95131MGTST880FO,1,MEGATEST CORP,SANTA CLARA,16894,6758,10136,37.38724,-121.90285
95131SQTCH1849F,1,MICREL LLC,SANTA CLARA,750,0,750,37.40093,-121.89527
95131STRGT575DA,2,STORAGETEK MEDIA CORP,SANTA CLARA,20899,1159,19740,37.38818,-121.91326
95131VLSTC1109M,6,PHILIPS SEMICONDUCTORS - VLSI,SANTA CLARA,2750,1500,1250,37.38892,-121.89348
95131XCLMC2150C,1,ROHM CORP COMMERCE FACILITY,SANTA CLARA,300,0,300,37.39438,-121.88861
95133CLBNC640LE,3,"ECOLAB, INC.",SANTA CLARA,2463,541,1922,37.36182,-121.86824
95133DPNCX520MA,1,DAP INC,SANTA CLARA,250,250,0,37.35728,-121.86913
95133QZTCR615NK,3,HURRELL LENOIR CITY INC,SANTA CLARA,129100,125000,4100,37.36356,-121.86625
95134CYPRS3901N,5,CYPRESS SEMICONDUCTOR SAN JOSE,SANTA CLARA,5955,5455,500,37.41265,-121.95005
95134KSRLC2701O,1,ROCKWELL COLLINS DISPLAY SYSTEMS,SANTA CLARA,22572,22572,0,37.38631,-121.93305
95134LCKHD45PLU,1,LOCKHEED MISSILES & SPACE CO INC,SANTA CLARA,5600,1400,4200,37.39052,-121.933475
95134LRLRLONERI,1,LORAL ROLM MILL  SPEC CORP,SANTA CLARA,14943,14943,0,37.40108,-121.94154
95134MXTRC150RI,1,MAXTOR CORP,SANTA CLARA,17000,17000,0,37.40336,-121.936807
95134MXTRC211RI,1,MAXTOR CORP,SANTA CLARA,22000,22000,0,37.40425,-121.93086
95134SPCTR3333N,1,SPECTRA PHYSICS INC,SANTA CLARA,12000,5000,7000,37.40193,-121.9396
95136STHBY35113,6,SOUTH BAY CIRCUITS INC,SANTA CLARA,3750,2750,1000,37.27772,-121.852673
95150CNVRG2700N,1,UNISYS CORP,SANTA CLARA,15000,5000,10000,37.38917,-121.93002
95150RCTGR696ET,2,QUEBECOR PRINTING SAN JOSE INC,SANTA CLARA,413749,153488,260261,37.39069,-121.916717
95161NTDTCPOBOX,5,UNITED TECHNOLOGIES CORP P&W SPACE PROPULSION,SANTA CLARA,833087,66691,766396,37.23539,-121.68338
95193BMXXX5600C,10,HGST INC,SANTA CLARA,1518421,1339431,178990,37.24737,-121.79465
95401HWLTT1412F,2,KEYSIGHT TECHNOLOGIES INC,SONOMA,154140,154140,0,38.483229,-122.712621
95403SNTRS1400A,2,SANTA ROSA STAINLESS STEEL,SONOMA,648,648,0,38.51111,-122.78995
95407CLXXX2789N,5,OPTICAL COATING LABORATORY INC,SONOMA,74850,47350,27500,38.41597,-122.75023
95425MGMBR1184S,1,MGM BRAKES,SONOMA,21200,19000,2200,38.784,-123.0109
95476SBSTN3894T,1,"SEBASTIANI VINEYARDS INC, SONOMA CASK CELLARS",SONOMA,250,250,0,38.293084,-122.449582
95620SMPLT7235T,2,SIMPLOT SOILBUILDERS,SOLANO,23697,250,23447,38.49587,-121.77783
95688MRCNHCROCK,1,INTERNATIONAL HOME FOODS INC,SOLANO,750,0,750,38.40583,-121.94743
