site_no,datetime,Q,waterTmax,waterTmin,EC
10343500,1971-05-22,72.0,10.6,1.1,NA
10343500,1971-05-23,76.0,11.7,2.2,NA
10343500,1971-05-24,86.0,11.1,2.8,NA
10343500,1971-05-25,92.0,11.1,2.8,NA
10343500,1971-05-26,93.0,11.1,3.9,NA
10343500,1971-05-27,84.0,5.0,3.3,NA
10343500,1971-05-28,70.0,6.7,2.8,NA
10343500,1971-05-29,66.0,6.1,2.2,NA
10343500,1971-05-30,63.0,6.1,2.2,NA
10343500,1971-05-31,54.0,5.6,1.7,NA
10343500,1971-06-01,48.0,6.1,2.2,NA
10343500,1971-06-02,46.0,10.0,1.7,NA
10343500,1971-06-03,47.0,10.0,2.2,NA
10343500,1971-06-04,50.0,10.6,2.2,NA
10343500,1971-06-05,54.0,11.7,2.8,NA
10343500,1971-06-06,57.0,13.3,3.3,NA
10343500,1971-06-07,61.0,13.3,3.9,NA
10343500,1971-06-08,62.0,11.1,3.3,NA
10343500,1971-06-09,60.0,9.4,3.3,NA
10343500,1971-06-10,60.0,12.2,4.4,NA
10343500,1971-06-11,59.0,13.3,3.3,NA
10343500,1971-06-12,59.0,10.6,3.9,NA
10343500,1971-06-13,58.0,12.8,3.9,NA
10343500,1971-06-14,57.0,13.9,3.9,NA
10343500,1971-06-15,57.0,14.4,4.4,NA
10343500,1971-06-16,59.0,14.4,4.4,NA
10343500,1971-06-17,58.0,13.9,4.4,NA
10343500,1971-06-18,57.0,13.3,5.6,NA
10343500,1971-06-19,57.0,12.8,6.1,NA
10343500,1971-06-20,56.0,15.0,5.0,NA
10343500,1971-06-21,54.0,14.4,5.6,NA
10343500,1971-06-22,51.0,15.0,5.6,NA
10343500,1971-06-23,49.0,14.4,6.1,NA
10343500,1971-06-24,46.0,14.4,6.1,NA
10343500,1971-06-25,43.0,12.8,5.6,NA
10343500,1971-06-26,69.0,10.6,7.2,NA
10343500,1971-06-27,54.0,13.3,5.0,NA
